"","grp$grp"
"AE01_N04TAF","3"
"AE02_N04TAF","2"
"AE05_N04TAF","1"
"AE06_N04TAF","4"
"AE08_N04TAF","1"
"AE10_N04TAF","4"
"AE12_N04TAF","3"
"AE13_N04TAF","2"
"AE14_N04TAF","1"
"AE15_N04TAF","2"
"AE16_N04TAF","4"
"AE18_N04TAF","2"
"AE19_N04TAF","2"
"AE23_N04TAF","4"
"AE24_N04TAF","3"
"AE25_N04TAF","2"
"AE28_N04TAF","1"
"AE29_N04TAF","1"
"AP01_N04TAF","1"
"AP02_N04TAF","1"
"AP03_N04TAF","3"
"AP05_N04TAF","1"
"AP09_N04TAF","1"
"AP10_N04TAF","1"
"AP11_N04TAF","2"
"AP12_N04TAF","3"
"AP13_N04TAF","2"
"AP14_N04TAF","2"
"AP16_N04TAF","1"
"AP17_N04TAF","1"
"AP20_N04TAF","4"
"AP22_N04TAF","3"
"AP25_N04TAF","4"
"AP26_N04TAF","4"
"AP27_N04TAF","3"
"AP29_N04TAF","3"
"AP30_N04TAF","1"
"CA03_N04TAF","1"
"CA04_N04TAF","1"
"CA06_N04TAF","2"
"CA07_N04TAF","1"
"CA09_N04TAF","2"
"CA10_N04TAF","4"
"CA11_N04TAF","2"
"CA14_N04TAF","1"
"CA16_N04TAF","1"
"CA17_N04TAF","1"
"CA18_N04TAF","4"
"CA19_N04TAF","3"
"CA21_N04TAF","4"
"CA22_N04TAF","4"
"CA25_N04TAF","4"
"CA27_N04TAF","2"
"CA28_N04TAF","3"
"CA29_N04TAF","3"
"CA30_N04TAF","2"
"CC01_N04TAF","4"
"CC02_N04TAF","4"
"CC03_N04TAF","4"
"CC07_N04TAF","4"
"CC09_N04TAF","1"
"CC10_N04TAF","4"
"CC11_N04TAF","2"
"CC13_N04TAF","2"
"CC15_N04TAF","3"
"CC16_N04TAF","3"
"CC17_N04TAF","1"
"CC20_N04TAF","3"
"CC21_N04TAF","1"
"CC23_N04TAF","3"
"CC24_N04TAF","4"
"CC26_N04TAF","2"
"CC27_N04TAF","1"
"CC29_N04TAF","1"
"CC30_N04TAF","3"
